N-Z,N,Z,A,BINDING_energy_per_nucleon(keV),Uncertainty(keV),A^(2/3),A^(-1/3),P,I,B_exp(MeV),B_LDM(MeV),LDM_residual(MeV),D,Sn_exp(MeV),Sp_exp(MeV),S2n_exp(MeV),S2p_exp(MeV)
0,8,8,16,7976.2072,0.0,6.3496042078727974,0.3968502629920499,1.0,0.0,127.6193152,125.38905792305019,2.230257276949814,0.0,,,,
1,9,8,17,7750.7291,0.0,6.611489018457944,0.3889111187328203,0.0,0.05882352941176472,131.76239470000002,131.59220962416072,0.17018507583929932,0.0,4.143079500000013,,,
-1,8,9,17,7542.3284,0.2,6.611489018457944,0.3889111187328203,0.0,-0.05882352941176472,128.2195828,127.62211443459087,0.5974683654091422,0.0,,0.6002676000000093,,
2,10,8,18,7767.0981,0.0,6.868285455319991,0.38157141418444396,1.0,0.11111111111111116,139.8077658,140.55236152603993,-0.7445957260399325,0.0,8.045371099999983,,12.188450599999996,
0,9,9,18,7631.6383,0.4,6.868285455319991,0.38157141418444396,-1.0,0.0,137.3694894,138.41764637066078,-1.0481569706607843,0.5,9.14990659999998,5.607094699999976,,
-2,8,10,18,7341.2577,0.3,6.868285455319991,0.38157141418444396,1.0,-0.11111111111111116,132.1426386,132.2445038911456,-0.10186529114560017,0.0,,3.923055799999986,,4.523323399999995
3,11,8,19,7566.4952,2.8,7.1203673589019925,0.3747561767843155,0.0,0.1578947368421053,143.7634088,143.8562163690515,-0.09280756905150156,0.0,3.955643000000009,,12.001014099999992,
1,10,9,19,7779.0192,0.0,7.1203673589019925,0.3747561767843155,0.0,0.052631578947368474,147.8013648,150.15462134258445,-2.353256542584461,0.6666666666666666,10.431875399999996,7.993598999999989,19.581781999999976,
-1,9,10,19,7567.3431,0.1,7.1203673589019925,0.3747561767843155,0.0,-0.05263157894736836,143.7795189,145.82074839193658,-2.0412294919365763,0.6666666666666666,11.636880300000001,6.410029500000007,,12.017124199999984
-3,8,11,19,6937.8864,11.3,7.1203673589019925,0.3747561767843155,0.0,-0.1578947368421053,131.81984160000002,130.8527230672125,0.9671185327875094,0.0,,-0.32279699999998,,3.600258800000006
4,12,8,20,7568.5707,0.9,7.368062997280773,0.36840314986403866,1.0,0.19999999999999996,151.371414,150.7233623383339,0.6480516616660736,0.0,7.60800519999998,,11.563648199999989,
